"SFO","PC ","PC22  ","11/13/2017","11/15/2017","11/21/2017","17","RQ"
"SFO","C  ","C22   ","11/13/2017","11/22/2017","11/28/2017","17","FS"
"SFO","PC ","PC22  ","11/13/2017","11/22/2017","11/28/2017","17","RQ"
"SFO","C  ","C22   ","11/13/2017","11/29/2017","12/05/2017","17","FS"
"SFO","PC ","PC22  ","11/13/2017","11/29/2017","12/05/2017","17","RQ"
"SFO","C  ","C22   ","11/13/2017","12/06/2017","12/12/2017","17","FS"
"SFO","PC ","PC22  ","11/13/2017","12/06/2017","12/12/2017","17","RQ"
"SFO","C  ","C22   ","11/13/2017","12/13/2017","12/19/2017","17","FS"
"SFO","PC ","PC22  ","11/13/2017","12/13/2017","12/19/2017","17","RQ"
"SFO","C  ","C22   ","11/13/2017","12/20/2017","12/26/2017","17","FS"
"SFO","PC ","PC22  ","11/13/2017","12/20/2017","12/26/2017","17","RQ"
"LAS","AF ","AF34  ","11/13/2017","11/08/2017","11/14/2017","61","FS"
"LAS","PF ","PAF34 ","11/13/2017","11/08/2017","11/14/2017","61","RQ"
"LAS","AF ","AF34  ","11/13/2017","11/15/2017","11/21/2017","61","FS"
"LAS","PF ","PAF34 ","11/13/2017","11/15/2017","11/21/2017","61","RQ"
"LAS","AF ","AF34  ","11/13/2017","11/22/2017","11/28/2017","61","FS"
"LAS","PF ","PAF34 ","11/13/2017","11/22/2017","11/28/2017","61","RQ"
"LAS","AF ","AF34  ","11/13/2017","11/29/2017","12/05/2017","61","FS"
"LAS","PF ","PAF34 ","11/13/2017","11/29/2017","12/05/2017","61","RQ"
"LAS","AF ","AF34  ","11/13/2017","12/06/2017","12/12/2017","61","FS"
"LAS","PF ","PAF34 ","11/13/2017","12/06/2017","12/12/2017","61","RQ"
"LAS","AF ","AF34  ","11/13/2017","12/13/2017","12/19/2017","61","FS"
"LAS","PF ","PAF34 ","11/13/2017","12/13/2017","12/19/2017","61","RQ"
"LAS","AF ","AF34  ","11/13/2017","12/20/2017","12/26/2017","61","FS"
"LAS","PF ","PAF34 ","11/13/2017","12/20/2017","12/26/2017","61","RQ"
"LAS","FS ","FS31  ","11/13/2017","11/08/2017","11/14/2017","32","FS"
"LAS","PM ","PFS31 ","11/13/2017","11/08/2017","11/14/2017","32","RQ"
"LAS","FS ","FS31  ","11/13/2017","11/15/2017","11/21/2017","32","FS"
"LAS","PM ","PFS31 ","11/13/2017","11/15/2017","11/21/2017","32","RQ"
"LAS","FS ","FS31  ","11/13/2017","11/22/2017","11/28/2017","32","FS"
"LAS","PM ","PFS31 ","11/13/2017","11/22/2017","11/28/2017","32","RQ"
"LAS","FS ","FS31  ","11/13/2017","11/29/2017","12/05/2017","32","FS"
"LAS","PM ","PFS31 ","11/13/2017","11/29/2017","12/05/2017","32","RQ"
"LAS","FS ","FS31  ","11/13/2017","12/06/2017","12/12/2017","32","FS"
"LAS","PM ","PFS31 ","11/13/2017","12/06/2017","12/12/2017","32","RQ"
"LAS","FS ","FS31  ","11/13/2017","12/13/2017","12/19/2017","32","FS"
"LAS","PM ","PFS31 ","11/13/2017","12/13/2017","12/19/2017","32","RQ"
"LAS","FS ","FS31  ","11/13/2017","12/20/2017","12/26/2017","32","FS"
"LAS","PM ","PFS31 ","11/13/2017","12/20/2017","12/26/2017","32","RQ"
"LAS","T  ","C28   ","11/13/2017","11/08/2017","11/14/2017","18","FS"
"LAS","PT ","PC28  ","11/13/2017","11/08/2017","11/14/2017","18","RQ"
"LAS","T  ","C28   ","11/13/2017","11/15/2017","11/21/2017","18","FS"
"LAS","PT ","PC28  ","11/13/2017","11/15/2017","11/21/2017","18","RQ"
"LAS","T  ","C28   ","11/13/2017","11/22/2017","11/28/2017","18","FS"
"LAS","PT ","PC28  ","11/13/2017","11/22/2017","11/28/2017","18","RQ"
"LAS","T  ","C28   ","11/13/2017","11/29/2017","12/05/2017","18","FS"
"LAS","PT ","PC28  ","11/13/2017","11/29/2017","12/05/2017","18","RQ"
"LAS","T  ","C28   ","11/13/2017","12/06/2017","12/12/2017","18","FS"
"LAS","PT ","PC28  ","11/13/2017","12/06/2017","12/12/2017","18","RQ"
"LAS","T  ","C28   ","11/13/2017","12/13/2017","12/19/2017","18","FS"
"LAS","PT ","PC28  ","11/13/2017","12/13/2017","12/19/2017","18","RQ"
"LAS","T  ","C28   ","11/13/2017","12/20/2017","12/26/2017","18","FS"
"LAS","PT ","PC28  ","11/13/2017","12/20/2017","12/26/2017","18","RQ"
"LAS","D  ","C25   ","11/13/2017","11/08/2017","11/14/2017","17","FS"
"LAS","PD ","PC25  ","11/13/2017","11/08/2017","11/14/2017","17","RQ"
"LAS","D  ","C25   ","11/13/2017","11/15/2017","11/21/2017","17","FS"
"LAS","PD ","PC25  ","11/13/2017","11/15/2017","11/21/2017","17","RQ"
"LAS","D  ","C25   ","11/13/2017","11/22/2017","11/28/2017","17","FS"
"LAS","PD ","PC25  ","11/13/2017","11/22/2017","11/28/2017","17","RQ"
"LAS","D  ","C25   ","11/13/2017","11/29/2017","12/05/2017","17","FS"
"LAS","PD ","PC25  ","11/13/2017","11/29/2017","12/05/2017","17","RQ"
"LAS","D  ","C25   ","11/13/2017","12/06/2017","12/12/2017","17","FS"
"LAS","PD ","PC25  ","11/13/2017","12/06/2017","12/12/2017","17","RQ"
"LAS","D  ","C25   ","11/13/2017","12/13/2017","12/19/2017","17","FS"
"LAS","PD ","PC25  ","11/13/2017","12/13/2017","12/19/2017","17","RQ"
"LAS","D  ","C25   ","11/13/2017","12/20/2017","12/26/2017","17","FS"
"LAS","PD ","PC25  ","11/13/2017","12/20/2017","12/26/2017","17","RQ"
"LAS","C  ","C22   ","11/13/2017","11/08/2017","11/14/2017","17","FS"
"LAS","PC ","PC22  ","11/13/2017","11/08/2017","11/14/2017","17","RQ"
"LAS","C  ","C22   ","11/13/2017","11/15/2017","11/21/2017","17","FS"
"LAS","PC ","PC22  ","11/13/2017","11/15/2017","11/21/2017","17","RQ"
"LAS","C  ","C22   ","11/13/2017","11/22/2017","11/28/2017","17","FS"
"LAS","PC ","PC22  ","11/13/2017","11/22/2017","11/28/2017","17","RQ"
"LAS","C  ","C22   ","11/13/2017","11/29/2017","12/05/2017","17","FS"
"LAS","PC ","PC22  ","11/13/2017","11/29/2017","12/05/2017","17","RQ"
"LAS","C  ","C22   ","11/13/2017","12/06/2017","12/12/2017","17","FS"
"LAS","PC ","PC22  ","11/13/2017","12/06/2017","12/12/2017","17","RQ"
"LAS","C  ","C22   ","11/13/2017","12/13/2017","12/19/2017","17","FS"
"LAS","PC ","PC22  ","11/13/2017","12/13/2017","12/19/2017","17","RQ"
"LAS","C  ","C22   ","11/13/2017","12/20/2017","12/26/2017","17","FS"
"LAS","PC ","PC22  ","11/13/2017","12/20/2017","12/26/2017","17","RQ"
"NYC","AF ","AF34  ","11/13/2017","11/08/2017","11/14/2017","61","FS"
"NYC","PF ","PAF34 ","11/13/2017","11/08/2017","11/14/2017","61","RQ"
"NYC","AF ","AF34  ","11/13/2017","11/15/2017","11/21/2017","61","FS"
"NYC","PF ","PAF34 ","11/13/2017","11/15/2017","11/21/2017","61","RQ"
"NYC","AF ","AF34  ","11/13/2017","11/22/2017","11/28/2017","61","FS"
"NYC","PF ","PAF34 ","11/13/2017","11/22/2017","11/28/2017","61","RQ"
"NYC","AF ","AF34  ","11/13/2017","11/29/2017","12/05/2017","61","FS"
"NYC","PF ","PAF34 ","11/13/2017","11/29/2017","12/05/2017","61","RQ"
"NYC","AF ","AF34  ","11/13/2017","12/06/2017","12/12/2017","61","FS"
"NYC","PF ","PAF34 ","11/13/2017","12/06/2017","12/12/2017","61","RQ"
"NYC","AF ","AF34  ","11/13/2017","12/13/2017","12/19/2017","61","FS"
"NYC","PF ","PAF34 ","11/13/2017","12/13/2017","12/19/2017","61","RQ"
"NYC","AF ","AF34  ","11/13/2017","12/20/2017","12/26/2017","61","FS"
"NYC","PF ","PAF34 ","11/13/2017","12/20/2017","12/26/2017","61","RQ"
"NYC","FS ","FS31  ","11/13/2017","11/08/2017","11/14/2017","36","FS"
